Evidence ID,Category,What to Capture,How to Capture It,Why It Matters for Your Portfolio,Priority,Status
TEST-04,Test Coverage Metrics,"Screenshot or export of coverage report (pytest-cov) showing line coverage across routers, models, checks",Run: cd app; pytest --cov=ems_readykit --cov-report=html; open htmlcov/index.html,Quantifies test coverage. Even 60-70% on a solo project is strong.,Medium,Complete
,,,,,,
--- PROJECT MANAGEMENT EVIDENCE ---,,,,,,
PM-01,Backlog Screenshot or Export,"Screenshot of backlog.md showing the structured backlog with session labels, priority tiers, and status icons",Open docs/backlog.md. Screenshot the top portion with session labels.,Shows professional project management discipline for a solo developer.,High,
PM-02,Completed Backlog Export,Screenshot or export of backlog_completed.md showing Sessions A through AQ (43 sessions),Open docs/backlog_completed.md.,43 completed sessions shows sustained project execution over months -- not a weekend project.,High,
PM-03,Session History Summary,43 completed sessions (A through AQ). Estimate total development hours: 43 sessions x 3-4 hours = roughly 130-170 hours of focused development.,Review backlog_completed.md session headers to confirm the count and spot-check a few entries for hour estimates.,Shows the scale of the project -- sustained solo execution over a month of sessions.,High,
PM-04,CLAUDE.md as Process Document,Export CLAUDE.md as a portfolio artifact showing your AI-assisted development process documentation,CLAUDE.md -- already written. Export as PDF.,Demonstrates documentation discipline and innovative use of AI tooling in professional development.,Medium,
,,,,,,
--- DOMAIN EXPERTISE EVIDENCE ---,,,,,,
DOM-01,UAT Test Case Spreadsheets,"The three completed UAT CSV files (Admin, Supervisor, Responder)",docs/evidence/uat/ -- UAT_Admin_Test_Cases_Completed_20260611.csv / UAT_Supervisor_Test_Cases_Completed_20260612.csv / UAT_Responder_Test_Cases_Completed_20260613.csv.,Shows you understand EMS operations well enough to design role-appropriate test cases.,High,
DOM-02,Real Inventory Data Screenshot,Screenshot showing the Unit 712 seeded inventory: compartment names (PC 1 through PC 8 etc.) and real item names,Run the check wizard against the production app on Unit 712. Screenshot Step 2.,Shows this is a real deployment with real data -- not a demo with placeholder content.,Critical,
DOM-03,Priority Items Design Decision,Write a short paragraph (3-5 sentences) explaining why AED and LUCAS Device checks are surfaced as priority items at the top of every check,Write from memory. Include: legal compliance requirement.  Time sensitive nature.   design decision to show before compartment walk.  ,Shows EMS domain knowledge. This is the story you tell in interviews.,High,
DOM-04,Earl Persona Document,"A brief written description of Earl: 68-year-old retired police chief, supervisor, iPhone user, limited tech comfort",Write 1 paragraph describing Earl and how his persona influenced UX decisions (60px tap targets -  plain English - no jargon).  mind.,Shows user-centered design process. This story differentiates you from developers who build without users in,High,
,,,,,,
--- SECURITY EVIDENCE ---,,,,,,
SEC-01,Azure AD Auth Flow Diagram,Diagram or screenshot showing the Azure AD token → backend RS256 JWT validation → role extraction flow,Draw in draw.io. Or screenshot auth.py with annotations.,Shows enterprise authentication implementation -- not just username/password.,High,
SEC-02,Rate Limiting Evidence,Screenshot of core/limiter.py showing the slowapi rate limiter configuration,Screenshot the relevant 20 lines of code.,Shows security awareness: rate limiting API endpoints against abuse.,Medium,
SEC-03,OpenAPI Docs Disabled in Production,Screenshot showing the /docs endpoint returns 404 in production (security: SEC-2),Try https://app-ems-readykit-dev.azurewebsites.net/docs in a browser. Screenshot the 404.,Shows you know to lock down API documentation in production.,Medium,
SEC-04,Audit Log Screenshot,Screenshot of the audit log in the app showing immutable event records,Open the compliance dashboard or audit section as Supervisor+. Screenshot several entries.,Shows you built accountability and traceability into the system -- a compliance requirement.,High,
,,,,,,
--- PORTFOLIO WRITE-UP TALKING POINTS ---,,,,,,
WP-01,The One-Launch Constraint,"Write 2-3 sentences about your launch philosophy: one chance, one real EMS team, no beta. How it shaped every decision.",Write from memory.,This is your opening hook. It immediately signals this is a real project with real stakes.,Critical,
WP-02,Technology Choices Narrative,"Explain why FastAPI + React + Azure + Azure AD -- not Django, not Rails, not AWS",Write 1 paragraph per choice. Focus on: stateless API  PWA offline needs  Azure AD for enterprise SSO without managing passwords.,"Shows architectural reasoning -- not just """"I used what I knew"""".",High,
WP-03,The Hardest Problem,Describe the hardest technical problem you solved (suggested: the supply room FIFO decrement or the status computation hierarchy),Write 2-3 sentences: what the problem was and  why it was hard and  how you solved it.,Interviewers always ask this. Have the answer ready.,Critical,
WP-04,The Earl Story,"Describe a specific UX decision you made because of Earl (example: 60px tap targets, plain English labels, no multi-step actions on one screen)",Write 1 paragraph with a specific example.,Shows product thinking -- you understand that adoption is the real success metric and  not feature count.,High,
WP-05,Test Count and Testing Philosophy,Articulate: 530 backend tests + 233 frontend tests = 763 total. Why persona-driven tests instead of just unit tests.,Write 2-3 sentences.,763 tests on a solo project is impressive. The persona framing explains your user-centered approach.,High,
